assignment_id,scenario_id,block_request_id,window_id,assignment_method,assigned_date,assigned_start,assigned_end,assignment_status,conflict_count
BASE00001,SC01,BR00001,W00022,BASELINE,2026-09-02,21:00,23:00,UNVALIDATED,
BASE00002,SC01,BR00002,W00021,BASELINE,2026-09-02,18:00,20:00,UNVALIDATED,
BASE00003,SC01,BR00003,W00022,BASELINE,2026-09-02,21:00,23:00,UNVALIDATED,
BASE00004,SC01,BR00004,W00021,BASELINE,2026-09-02,18:00,20:00,UNVALIDATED,
BASE00005,SC01,BR00005,W00122,BASELINE,2026-09-07,21:00,23:00,UNVALIDATED,
BASE00006,SC01,BR00006,W00007,BASELINE,2026-09-01,18:00,20:00,UNVALIDATED,
BASE00007,SC01,BR00007,W00122,BASELINE,2026-09-07,21:00,23:00,UNVALIDATED,
BASE00008,SC01,BR00008,W00121,BASELINE,2026-09-07,18:00,20:00,UNVALIDATED,
BASE00009,SC01,BR00009,W00122,BASELINE,2026-09-07,21:00,23:00,UNVALIDATED,
BASE00010,SC01,BR00010,W00221,BASELINE,2026-09-12,18:00,20:00,UNVALIDATED,
BASE00011,SC01,BR00011,W00222,BASELINE,2026-09-12,21:00,23:00,UNVALIDATED,
BASE00012,SC01,BR00012,W00013,BASELINE,2026-09-01,18:00,20:00,UNVALIDATED,
BASE00013,SC01,BR00013,W00222,BASELINE,2026-09-12,21:00,23:00,UNVALIDATED,
BASE00014,SC01,BR00014,W00221,BASELINE,2026-09-12,18:00,20:00,UNVALIDATED,
BASE00015,SC01,BR00015,W00322,BASELINE,2026-09-17,21:00,23:00,UNVALIDATED,
BASE00016,SC01,BR00016,W00323,BASELINE,2026-09-17,18:00,20:00,UNVALIDATED,
BASE00017,SC01,BR00017,W00324,BASELINE,2026-09-17,21:00,23:00,UNVALIDATED,
BASE00018,SC01,BR00018,W00019,BASELINE,2026-09-01,18:00,20:00,UNVALIDATED,
BASE00019,SC01,BR00019,W00324,BASELINE,2026-09-17,21:00,23:00,UNVALIDATED,
BASE00020,SC01,BR00020,W00423,BASELINE,2026-09-22,18:00,20:00,UNVALIDATED,
BASE00021,SC01,BR00021,W00424,BASELINE,2026-09-22,21:00,23:00,UNVALIDATED,
BASE00022,SC01,BR00022,W00423,BASELINE,2026-09-22,18:00,20:00,UNVALIDATED,
BASE00023,SC01,BR00023,W00424,BASELINE,2026-09-22,21:00,23:00,UNVALIDATED,
BASE00024,SC01,BR00024,W00025,BASELINE,2026-09-02,18:00,20:00,UNVALIDATED,
BASE00025,SC01,BR00025,W00524,BASELINE,2026-09-27,21:00,23:00,UNVALIDATED,
BASE00026,SC01,BR00026,W00523,BASELINE,2026-09-27,18:00,20:00,UNVALIDATED,
BASE00027,SC01,BR00027,W00524,BASELINE,2026-09-27,21:00,23:00,UNVALIDATED,
BASE00028,SC01,BR00028,W00029,BASELINE,2026-09-02,18:00,20:00,UNVALIDATED,
BASE00029,SC01,BR00029,W00030,BASELINE,2026-09-02,21:00,23:00,UNVALIDATED,
BASE00030,SC01,BR00030,W00031,BASELINE,2026-09-02,18:00,20:00,UNVALIDATED,
BASE00031,SC01,BR00031,W00066,BASELINE,2026-09-04,21:00,23:00,UNVALIDATED,
BASE00032,SC01,BR00032,W00065,BASELINE,2026-09-04,18:00,20:00,UNVALIDATED,
BASE00033,SC01,BR00033,W00066,BASELINE,2026-09-04,21:00,23:00,UNVALIDATED,
BASE00034,SC01,BR00034,W00065,BASELINE,2026-09-04,18:00,20:00,UNVALIDATED,
BASE00035,SC01,BR00035,W00166,BASELINE,2026-09-09,21:00,23:00,UNVALIDATED,
BASE00036,SC01,BR00036,W00037,BASELINE,2026-09-02,18:00,20:00,UNVALIDATED,
BASE00037,SC01,BR00037,W00166,BASELINE,2026-09-09,21:00,23:00,UNVALIDATED,
BASE00038,SC01,BR00038,W00165,BASELINE,2026-09-09,18:00,20:00,UNVALIDATED,
BASE00039,SC01,BR00039,W00166,BASELINE,2026-09-09,21:00,23:00,UNVALIDATED,
BASE00040,SC01,BR00040,W00265,BASELINE,2026-09-14,18:00,20:00,UNVALIDATED,
BASE00041,SC01,BR00041,W00266,BASELINE,2026-09-14,21:00,23:00,UNVALIDATED,
BASE00042,SC01,BR00042,W00043,BASELINE,2026-09-03,18:00,20:00,UNVALIDATED,
BASE00043,SC01,BR00043,W00266,BASELINE,2026-09-14,21:00,23:00,UNVALIDATED,
BASE00044,SC01,BR00044,W00265,BASELINE,2026-09-14,18:00,20:00,UNVALIDATED,
BASE00045,SC01,BR00045,W00366,BASELINE,2026-09-19,21:00,23:00,UNVALIDATED,
BASE00046,SC01,BR00046,W00367,BASELINE,2026-09-19,18:00,20:00,UNVALIDATED,
BASE00047,SC01,BR00047,W00368,BASELINE,2026-09-19,21:00,23:00,UNVALIDATED,
BASE00048,SC01,BR00048,W00049,BASELINE,2026-09-03,18:00,20:00,UNVALIDATED,
BASE00049,SC01,BR00049,W00368,BASELINE,2026-09-19,21:00,23:00,UNVALIDATED,
BASE00050,SC01,BR00050,W00467,BASELINE,2026-09-24,18:00,20:00,UNVALIDATED,
BASE00051,SC01,BR00051,W00468,BASELINE,2026-09-24,21:00,23:00,UNVALIDATED,
BASE00052,SC01,BR00052,W00467,BASELINE,2026-09-24,18:00,20:00,UNVALIDATED,
BASE00053,SC01,BR00053,W00468,BASELINE,2026-09-24,21:00,23:00,UNVALIDATED,
BASE00054,SC01,BR00054,W00055,BASELINE,2026-09-03,18:00,20:00,UNVALIDATED,
BASE00055,SC01,BR00055,W00056,BASELINE,2026-09-03,21:00,23:00,UNVALIDATED,
