block_request_id,department_id,task_id,section_id,requested_date,preferred_start,preferred_end,minimum_duration_min,block_type,request_status,priority_score,authorization_status,work_description,power_block_required,bundling_candidate
BR00001,ENG,T00001,S01,2026-09-02,19:00,21:00,90,TRAFFIC,VALIDATED,46.2,REQUESTED,Maintenance work,False,False
BR00002,ENG,T00002,S01,2026-09-02,20:00,22:00,120,TRAFFIC,QUEUED,61.4,REQUESTED,Maintenance work,False,False
BR00003,ENG,T00003,S01,2026-09-02,21:00,00:00,150,TRAFFIC,OPTIMIZED,76.6,REQUESTED,Maintenance work,False,False
BR00004,ENG,T00004,S01,2026-09-02,18:00,21:00,180,TRAFFIC,REVIEW,61.0,REQUESTED,Maintenance work,False,False
BR00005,ENG,T00005,S01,2026-09-07,19:00,20:00,60,TRAFFIC,APPROVED,76.2,REQUESTED,Maintenance work,False,False
BR00006,SNT,T00006,S01,2026-08-13,20:00,22:00,90,TRAFFIC,CANCELLED,91.4,REQUESTED,Maintenance work,False,True
BR00007,SNT,T00007,S01,2026-09-07,21:00,23:00,120,POWER,DRAFT,39.8,REQUESTED,Maintenance work,True,False
BR00008,SNT,T00008,S01,2026-09-07,18:00,21:00,150,TRAFFIC,VALIDATED,55.0,REQUESTED,Maintenance work,False,False
BR00009,SNT,T00009,S01,2026-09-07,19:00,22:00,180,TRAFFIC,QUEUED,70.2,REQUESTED,Maintenance work,False,False
BR00010,SNT,T00010,S01,2026-09-12,20:00,21:00,60,TRAFFIC,OPTIMIZED,54.6,REQUESTED,Maintenance work,False,False
BR00011,TRD,T00011,S01,2026-09-12,21:00,23:00,90,TRAFFIC,REVIEW,69.8,REQUESTED,Maintenance work,False,False
BR00012,TRD,T00012,S01,2026-08-14,18:00,20:00,120,TRAFFIC,APPROVED,85.0,REQUESTED,Maintenance work,False,True
BR00013,TRD,T00013,S01,2026-09-12,19:00,22:00,150,TRAFFIC,CANCELLED,64.2,REQUESTED,Maintenance work,False,False
BR00014,TRD,T00014,S01,2026-09-12,20:00,23:00,180,POWER,DRAFT,48.6,REQUESTED,Maintenance work,True,False
BR00015,TRD,T00015,S01,2026-09-17,21:00,22:00,60,TRAFFIC,VALIDATED,63.8,REQUESTED,Maintenance work,False,False
BR00016,ENG,T00016,S02,2026-09-17,18:00,20:00,90,TRAFFIC,QUEUED,79.0,REQUESTED,Maintenance work,False,False
BR00017,ENG,T00017,S02,2026-09-17,19:00,21:00,120,TRAFFIC,OPTIMIZED,63.4,REQUESTED,Maintenance work,False,False
BR00018,ENG,T00018,S02,2026-08-15,20:00,23:00,150,TRAFFIC,REVIEW,78.6,REQUESTED,Maintenance work,False,True
BR00019,ENG,T00019,S02,2026-09-17,21:00,00:00,180,TRAFFIC,APPROVED,57.8,REQUESTED,Maintenance work,False,False
BR00020,ENG,T00020,S02,2026-09-22,18:00,19:00,60,TRAFFIC,CANCELLED,42.2,REQUESTED,Maintenance work,False,False
BR00021,SNT,T00021,S02,2026-09-22,19:00,21:00,90,POWER,DRAFT,57.4,REQUESTED,Maintenance work,True,False
BR00022,SNT,T00022,S02,2026-09-22,20:00,22:00,120,TRAFFIC,VALIDATED,72.6,REQUESTED,Maintenance work,False,False
BR00023,SNT,T00023,S02,2026-09-22,21:00,00:00,150,TRAFFIC,QUEUED,87.8,REQUESTED,Maintenance work,False,False
BR00024,SNT,T00024,S02,2026-08-16,18:00,21:00,180,TRAFFIC,OPTIMIZED,72.2,REQUESTED,Maintenance work,False,True
BR00025,SNT,T00025,S02,2026-09-27,19:00,20:00,60,TRAFFIC,REVIEW,51.4,REQUESTED,Maintenance work,False,False
BR00026,TRD,T00026,S02,2026-09-27,20:00,22:00,90,TRAFFIC,APPROVED,66.6,REQUESTED,Maintenance work,False,False
BR00027,TRD,T00027,S02,2026-09-27,21:00,23:00,120,TRAFFIC,CANCELLED,51.0,REQUESTED,Maintenance work,False,False
BR00028,TRD,T00028,S02,2026-08-30,18:00,21:00,150,POWER,DRAFT,66.2,REQUESTED,Maintenance work,True,False
