bundle_id,task_id_a,task_id_b,bundle_rule,reason
BND0001,T00012,T00013,SAME_SECTION,Potential shared block
BND0002,T00023,T00024,SAME_SECTION,Potential shared block
BND0003,T00034,T00035,SAME_SECTION,Potential shared block
BND0004,T00045,T00046,SAME_SECTION,Potential shared block
BND0005,T00056,T00057,SAME_SECTION,Potential shared block
BND0006,T00067,T00068,SAME_SECTION,Potential shared block
BND0007,T00078,T00079,SAME_SECTION,Potential shared block
BND0008,T00089,T00090,SAME_SECTION,Potential shared block
BND0009,T00100,T00101,SAME_SECTION,Potential shared block
BND0010,T00111,T00112,SAME_SECTION,Potential shared block
BND0011,T00122,T00123,SAME_SECTION,Potential shared block
BND0012,T00133,T00134,SAME_SECTION,Potential shared block
BND0013,T00144,T00145,SAME_SECTION,Potential shared block
BND0014,T00005,T00006,SAME_SECTION,Potential shared block
BND0015,T00016,T00017,SAME_SECTION,Potential shared block
BND0016,T00027,T00028,SAME_SECTION,Potential shared block
BND0017,T00038,T00039,SAME_SECTION,Potential shared block
BND0018,T00049,T00050,SAME_SECTION,Potential shared block
BND0019,T00060,T00061,SAME_SECTION,Potential shared block
BND0020,T00071,T00072,SAME_SECTION,Potential shared block
BND0021,T00082,T00083,SAME_SECTION,Potential shared block
BND0022,T00093,T00094,SAME_SECTION,Potential shared block
BND0023,T00104,T00105,SAME_SECTION,Potential shared block
BND0024,T00115,T00116,SAME_SECTION,Potential shared block
BND0025,T00126,T00127,SAME_SECTION,Potential shared block
BND0026,T00137,T00138,SAME_SECTION,Potential shared block
BND0027,T00148,T00149,SAME_SECTION,Potential shared block
BND0028,T00009,T00010,SAME_SECTION,Potential shared block
BND0029,T00020,T00021,SAME_SECTION,Potential shared block
BND0030,T00031,T00032,SAME_SECTION,Potential shared block
BND0031,T00042,T00043,SAME_SECTION,Potential shared block
BND0032,T00053,T00054,SAME_SECTION,Potential shared block
BND0033,T00064,T00065,SAME_SECTION,Potential shared block
BND0034,T00075,T00076,SAME_SECTION,Potential shared block
BND0035,T00086,T00087,SAME_SECTION,Potential shared block
BND0036,T00097,T00098,SAME_SECTION,Potential shared block
BND0037,T00108,T00109,SAME_SECTION,Potential shared block
BND0038,T00119,T00120,SAME_SECTION,Potential shared block
BND0039,T00130,T00131,SAME_SECTION,Potential shared block
BND0040,T00141,T00142,SAME_SECTION,Potential shared block
BND0041,T00002,T00003,SAME_SECTION,Potential shared block
BND0042,T00013,T00014,SAME_SECTION,Potential shared block
BND0043,T00024,T00025,SAME_SECTION,Potential shared block
BND0044,T00035,T00036,SAME_SECTION,Potential shared block
BND0045,T00046,T00047,SAME_SECTION,Potential shared block
BND0046,T00057,T00058,SAME_SECTION,Potential shared block
BND0047,T00068,T00069,SAME_SECTION,Potential shared block
BND0048,T00079,T00080,SAME_SECTION,Potential shared block
BND0049,T00090,T00091,SAME_SECTION,Potential shared block
BND0050,T00101,T00102,SAME_SECTION,Potential shared block
BND0051,T00112,T00113,SAME_SECTION,Potential shared block
BND0052,T00123,T00124,SAME_SECTION,Potential shared block
BND0053,T00134,T00135,SAME_SECTION,Potential shared block
BND0054,T00145,T00146,SAME_SECTION,Potential shared block
BND0055,T00006,T00007,SAME_SECTION,Potential shared block
BND0056,T00017,T00018,SAME_SECTION,Potential shared block
BND0057,T00028,T00029,SAME_SECTION,Potential shared block
BND0058,T00039,T00040,SAME_SECTION,Potential shared block
BND0059,T00050,T00051,SAME_SECTION,Potential shared block
