window_id,section_id,date,start_time,end_time,duration_min,block_type,status,window_class
W00001,S01,2026-09-01,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00002,S01,2026-09-01,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00003,S02,2026-09-01,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00004,S02,2026-09-01,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00005,S03,2026-09-01,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00006,S03,2026-09-01,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00007,S04,2026-09-01,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00008,S04,2026-09-01,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00009,S05,2026-09-01,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00010,S05,2026-09-01,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00011,S06,2026-09-01,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00012,S06,2026-09-01,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00013,S07,2026-09-01,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00014,S07,2026-09-01,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00015,S08,2026-09-01,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00016,S08,2026-09-01,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00017,S09,2026-09-01,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00018,S09,2026-09-01,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00019,S10,2026-09-01,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00020,S10,2026-09-01,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00021,S01,2026-09-02,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00022,S01,2026-09-02,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00023,S02,2026-09-02,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00024,S02,2026-09-02,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00025,S03,2026-09-02,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00026,S03,2026-09-02,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00027,S04,2026-09-02,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00028,S04,2026-09-02,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00029,S05,2026-09-02,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00030,S05,2026-09-02,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00031,S06,2026-09-02,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00032,S06,2026-09-02,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00033,S07,2026-09-02,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00034,S07,2026-09-02,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00035,S08,2026-09-02,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00036,S08,2026-09-02,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00037,S09,2026-09-02,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00038,S09,2026-09-02,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00039,S10,2026-09-02,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00040,S10,2026-09-02,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00041,S01,2026-09-03,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00042,S01,2026-09-03,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00043,S02,2026-09-03,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00044,S02,2026-09-03,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00045,S03,2026-09-03,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00046,S03,2026-09-03,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00047,S04,2026-09-03,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00048,S04,2026-09-03,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00049,S05,2026-09-03,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00050,S05,2026-09-03,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00051,S06,2026-09-03,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00052,S06,2026-09-03,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00053,S07,2026-09-03,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00054,S07,2026-09-03,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00055,S08,2026-09-03,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00056,S08,2026-09-03,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00057,S09,2026-09-03,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00058,S09,2026-09-03,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00059,S10,2026-09-03,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00060,S10,2026-09-03,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00061,S01,2026-09-04,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00062,S01,2026-09-04,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00063,S02,2026-09-04,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00064,S02,2026-09-04,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00065,S03,2026-09-04,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00066,S03,2026-09-04,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00067,S04,2026-09-04,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00068,S04,2026-09-04,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00069,S05,2026-09-04,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00070,S05,2026-09-04,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00071,S06,2026-09-04,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00072,S06,2026-09-04,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00073,S07,2026-09-04,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00074,S07,2026-09-04,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00075,S08,2026-09-04,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00076,S08,2026-09-04,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00077,S09,2026-09-04,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00078,S09,2026-09-04,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00079,S10,2026-09-04,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00080,S10,2026-09-04,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00081,S01,2026-09-05,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00082,S01,2026-09-05,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00083,S02,2026-09-05,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00084,S02,2026-09-05,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00085,S03,2026-09-05,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00086,S03,2026-09-05,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00087,S04,2026-09-05,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00088,S04,2026-09-05,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00089,S05,2026-09-05,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00090,S05,2026-09-05,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00091,S06,2026-09-05,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00092,S06,2026-09-05,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00093,S07,2026-09-05,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00094,S07,2026-09-05,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00095,S08,2026-09-05,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00096,S08,2026-09-05,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00097,S09,2026-09-05,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00098,S09,2026-09-05,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00099,S10,2026-09-05,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00100,S10,2026-09-05,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00101,S01,2026-09-06,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00102,S01,2026-09-06,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00103,S02,2026-09-06,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00104,S02,2026-09-06,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00105,S03,2026-09-06,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00106,S03,2026-09-06,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00107,S04,2026-09-06,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00108,S04,2026-09-06,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00109,S05,2026-09-06,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00110,S05,2026-09-06,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00111,S06,2026-09-06,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00112,S06,2026-09-06,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00113,S07,2026-09-06,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00114,S07,2026-09-06,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00115,S08,2026-09-06,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00116,S08,2026-09-06,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00117,S09,2026-09-06,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00118,S09,2026-09-06,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00119,S10,2026-09-06,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00120,S10,2026-09-06,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00121,S01,2026-09-07,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00122,S01,2026-09-07,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00123,S02,2026-09-07,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00124,S02,2026-09-07,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00125,S03,2026-09-07,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00126,S03,2026-09-07,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00127,S04,2026-09-07,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00128,S04,2026-09-07,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00129,S05,2026-09-07,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00130,S05,2026-09-07,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00131,S06,2026-09-07,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
W00132,S06,2026-09-07,21:00,23:00,120,TRAFFIC,AVAILABLE,NIGHT
W00133,S07,2026-09-07,18:00,20:00,120,TRAFFIC,AVAILABLE,EVENING
