defect_id,asset_id,section_id,found_date,severity,defect_type,due_date,status
D00004,A00004,S01,2026-08-05,LOW,wear,2026-09-04,OPEN
D00008,A00008,S01,2026-08-09,LOW,wear,2026-09-08,OPEN
D00012,A00012,S01,2026-08-13,LOW,wear,2026-09-12,OPEN
D00016,A00016,S02,2026-08-17,LOW,wear,2026-09-16,OPEN
D00020,A00020,S02,2026-08-21,LOW,wear,2026-09-20,OPEN
D00024,A00024,S02,2026-08-25,LOW,wear,2026-09-24,OPEN
D00028,A00028,S02,2026-08-04,LOW,wear,2026-09-03,OPEN
D00032,A00032,S03,2026-08-08,LOW,wear,2026-09-07,OPEN
D00036,A00036,S03,2026-08-12,LOW,wear,2026-09-11,OPEN
D00040,A00040,S03,2026-08-16,LOW,wear,2026-09-15,OPEN
D00044,A00044,S03,2026-08-20,LOW,wear,2026-09-19,OPEN
D00048,A00048,S04,2026-08-24,LOW,wear,2026-09-23,OPEN
D00052,A00052,S04,2026-08-03,LOW,wear,2026-09-02,OPEN
D00056,A00056,S04,2026-08-07,LOW,wear,2026-09-06,OPEN
D00060,A00060,S04,2026-08-11,LOW,wear,2026-09-10,OPEN
D00064,A00064,S05,2026-08-15,LOW,wear,2026-09-14,OPEN
D00068,A00068,S05,2026-08-19,LOW,wear,2026-09-18,OPEN
D00072,A00072,S05,2026-08-23,LOW,wear,2026-09-22,OPEN
D00076,A00076,S06,2026-08-02,LOW,wear,2026-09-01,OPEN
D00080,A00080,S06,2026-08-06,LOW,wear,2026-09-05,OPEN
D00084,A00084,S06,2026-08-10,LOW,wear,2026-09-09,OPEN
D00088,A00088,S06,2026-08-14,LOW,wear,2026-09-13,OPEN
D00092,A00092,S07,2026-08-18,LOW,wear,2026-09-17,OPEN
D00096,A00096,S07,2026-08-22,LOW,wear,2026-09-21,OPEN
D00100,A00100,S07,2026-08-01,LOW,wear,2026-08-31,OPEN
D00104,A00104,S07,2026-08-05,LOW,wear,2026-09-04,OPEN
D00108,A00108,S08,2026-08-09,LOW,wear,2026-09-08,OPEN
D00112,A00112,S08,2026-08-13,LOW,wear,2026-09-12,OPEN
D00116,A00116,S08,2026-08-17,LOW,wear,2026-09-16,OPEN
D00120,A00120,S08,2026-08-21,LOW,wear,2026-09-20,OPEN
D00124,A00124,S09,2026-08-25,LOW,wear,2026-09-24,OPEN
D00128,A00128,S09,2026-08-04,LOW,wear,2026-09-03,OPEN
D00132,A00132,S09,2026-08-08,LOW,wear,2026-09-07,OPEN
D00136,A00136,S10,2026-08-12,LOW,wear,2026-09-11,OPEN
D00140,A00140,S10,2026-08-16,LOW,wear,2026-09-15,OPEN
D00144,A00144,S10,2026-08-20,LOW,wear,2026-09-19,OPEN
D00148,A00148,S10,2026-08-24,LOW,wear,2026-09-23,OPEN
