forecast_id,forecast_date,section_id,expected_goods_trains,confidence,traffic_level
GF00001,2026-09-02,S06,6,0.67,MEDIUM
GF00002,2026-09-03,S01,5,0.84,HIGH
GF00003,2026-09-04,S06,4,0.51,LOW
GF00004,2026-09-05,S01,3,0.68,MEDIUM
GF00005,2026-09-06,S06,2,0.85,HIGH
GF00006,2026-09-07,S01,1,0.52,LOW
GF00007,2026-09-08,S06,6,0.69,MEDIUM
GF00008,2026-09-09,S01,5,0.86,HIGH
GF00009,2026-09-10,S06,4,0.53,LOW
GF00010,2026-09-11,S01,3,0.7,MEDIUM
GF00011,2026-09-12,S06,2,0.87,HIGH
GF00012,2026-09-13,S01,1,0.54,LOW
GF00013,2026-09-14,S06,6,0.71,MEDIUM
GF00014,2026-09-15,S01,5,0.88,HIGH
GF00015,2026-09-16,S06,4,0.55,LOW
GF00016,2026-09-17,S01,3,0.72,MEDIUM
GF00017,2026-09-18,S06,2,0.89,HIGH
GF00018,2026-09-19,S01,1,0.56,LOW
GF00019,2026-09-20,S06,6,0.73,MEDIUM
GF00020,2026-09-21,S01,5,0.9,HIGH
GF00021,2026-09-22,S06,4,0.57,LOW
GF00022,2026-09-23,S01,3,0.74,MEDIUM
GF00023,2026-09-24,S06,2,0.91,HIGH
GF00024,2026-09-25,S01,1,0.58,LOW
GF00025,2026-09-26,S06,6,0.75,MEDIUM
GF00026,2026-09-27,S01,5,0.92,HIGH
GF00027,2026-09-28,S06,4,0.59,LOW
GF00028,2026-09-01,S01,3,0.76,MEDIUM
GF00029,2026-09-02,S06,2,0.93,HIGH
GF00030,2026-09-03,S01,1,0.6,LOW
GF00031,2026-09-04,S06,6,0.77,MEDIUM
GF00032,2026-09-05,S01,5,0.94,HIGH
GF00033,2026-09-06,S06,4,0.61,LOW
GF00034,2026-09-07,S01,3,0.78,MEDIUM
GF00035,2026-09-08,S06,2,0.95,HIGH
GF00036,2026-09-09,S01,1,0.62,LOW
GF00037,2026-09-10,S06,6,0.79,MEDIUM
GF00038,2026-09-11,S01,5,0.96,HIGH
GF00039,2026-09-12,S06,4,0.63,LOW
GF00040,2026-09-13,S01,3,0.8,MEDIUM
GF00041,2026-09-14,S06,2,0.97,HIGH
GF00042,2026-09-15,S01,1,0.64,LOW
GF00043,2026-09-16,S06,6,0.81,MEDIUM
GF00044,2026-09-17,S01,5,0.98,HIGH
GF00045,2026-09-18,S06,4,0.65,LOW
GF00046,2026-09-19,S01,3,0.82,MEDIUM
GF00047,2026-09-20,S06,2,0.99,HIGH
GF00048,2026-09-21,S01,1,0.66,LOW
GF00049,2026-09-22,S06,6,0.83,MEDIUM
GF00050,2026-09-23,S01,5,0.5,HIGH
GF00051,2026-09-24,S06,4,0.67,LOW
GF00052,2026-09-25,S01,3,0.84,MEDIUM
GF00053,2026-09-26,S06,2,0.51,HIGH
GF00054,2026-09-27,S01,1,0.68,LOW
GF00055,2026-09-28,S06,6,0.85,MEDIUM
GF00056,2026-09-01,S01,5,0.52,HIGH
GF00057,2026-09-02,S06,4,0.69,LOW
GF00058,2026-09-03,S01,3,0.86,MEDIUM
GF00059,2026-09-04,S06,2,0.53,HIGH
GF00060,2026-09-05,S01,1,0.7,LOW
GF00061,2026-09-06,S06,6,0.87,MEDIUM
GF00062,2026-09-07,S01,5,0.54,HIGH
GF00063,2026-09-08,S06,4,0.71,LOW
GF00064,2026-09-09,S01,3,0.88,MEDIUM
GF00065,2026-09-10,S06,2,0.55,HIGH
GF00066,2026-09-11,S01,1,0.72,LOW
GF00067,2026-09-12,S06,6,0.89,MEDIUM
GF00068,2026-09-13,S01,5,0.56,HIGH
GF00069,2026-09-14,S06,4,0.73,LOW
GF00070,2026-09-15,S01,3,0.9,MEDIUM
GF00071,2026-09-16,S06,2,0.57,HIGH
GF00072,2026-09-17,S01,1,0.74,LOW
GF00073,2026-09-18,S06,6,0.91,MEDIUM
GF00074,2026-09-19,S01,5,0.58,HIGH
GF00075,2026-09-20,S06,4,0.75,LOW
GF00076,2026-09-21,S01,3,0.92,MEDIUM
GF00077,2026-09-22,S06,2,0.59,HIGH
GF00078,2026-09-23,S01,1,0.76,LOW
GF00079,2026-09-24,S06,6,0.93,MEDIUM
GF00080,2026-09-25,S01,5,0.6,HIGH
GF00081,2026-09-26,S06,4,0.77,LOW
GF00082,2026-09-27,S01,3,0.94,MEDIUM
GF00083,2026-09-28,S06,2,0.61,HIGH
GF00084,2026-09-01,S01,1,0.78,LOW
GF00085,2026-09-02,S06,6,0.95,MEDIUM
GF00086,2026-09-03,S01,5,0.62,HIGH
GF00087,2026-09-04,S06,4,0.79,LOW
GF00088,2026-09-05,S01,3,0.96,MEDIUM
GF00089,2026-09-06,S06,2,0.63,HIGH
GF00090,2026-09-07,S01,1,0.8,LOW
GF00091,2026-09-08,S06,6,0.97,MEDIUM
GF00092,2026-09-09,S01,5,0.64,HIGH
GF00093,2026-09-10,S06,4,0.81,LOW
