inspection_id,asset_id,department_id,inspection_date,result,condition_score,inspection_type
I000010,A00001,ENG,2026-04-04,PASS,62,ROUTINE
I000011,A00001,ENG,2026-05-19,PASS,73,ROUTINE
I000012,A00001,ENG,2026-07-03,PASS,84,ROUTINE
I000020,A00002,ENG,2026-04-07,PASS,69,ROUTINE
I000021,A00002,ENG,2026-05-22,PASS,80,ROUTINE
I000022,A00002,ENG,2026-07-06,PASS,91,ROUTINE
I000030,A00003,ENG,2026-04-10,PASS,76,ROUTINE
I000031,A00003,ENG,2026-05-25,PASS,87,ROUTINE
I000032,A00003,ENG,2026-07-09,PASS,98,ROUTINE
I000040,A00004,ENG,2026-04-13,PASS,83,ROUTINE
I000041,A00004,ENG,2026-05-28,PASS,94,ROUTINE
I000042,A00004,ENG,2026-07-12,PASS,59,ROUTINE
I000050,A00005,ENG,2026-04-16,PASS,90,ROUTINE
I000051,A00005,ENG,2026-05-31,PASS,55,ROUTINE
I000052,A00005,ENG,2026-07-15,ATTENTION,66,ROUTINE
I000060,A00006,SNT,2026-04-19,PASS,97,ROUTINE
I000061,A00006,SNT,2026-06-03,ATTENTION,62,ROUTINE
I000062,A00006,SNT,2026-07-18,PASS,73,ROUTINE
I000070,A00007,SNT,2026-04-22,ATTENTION,58,ROUTINE
I000071,A00007,SNT,2026-06-06,PASS,69,ROUTINE
I000072,A00007,SNT,2026-07-21,PASS,80,ROUTINE
I000080,A00008,SNT,2026-04-25,PASS,65,ROUTINE
I000081,A00008,SNT,2026-06-09,PASS,76,ROUTINE
I000082,A00008,SNT,2026-07-24,PASS,87,ROUTINE
I000090,A00009,SNT,2026-04-28,PASS,72,ROUTINE
I000091,A00009,SNT,2026-06-12,PASS,83,ROUTINE
I000092,A00009,SNT,2026-07-27,PASS,94,ROUTINE
I000100,A00010,SNT,2026-05-01,PASS,79,ROUTINE
I000101,A00010,SNT,2026-06-15,PASS,90,ROUTINE
I000102,A00010,SNT,2026-04-01,PASS,55,ROUTINE
I000110,A00011,TRD,2026-05-04,PASS,86,ROUTINE
I000111,A00011,TRD,2026-06-18,PASS,97,ROUTINE
I000112,A00011,TRD,2026-04-04,PASS,62,ROUTINE
I000120,A00012,TRD,2026-05-07,PASS,93,ROUTINE
I000121,A00012,TRD,2026-06-21,PASS,58,ROUTINE
I000122,A00012,TRD,2026-04-07,ATTENTION,69,ROUTINE
I000130,A00013,TRD,2026-05-10,PASS,100,ROUTINE
I000131,A00013,TRD,2026-06-24,ATTENTION,65,ROUTINE
I000132,A00013,TRD,2026-04-10,PASS,76,ROUTINE
I000140,A00014,TRD,2026-05-13,ATTENTION,61,ROUTINE
I000141,A00014,TRD,2026-06-27,PASS,72,ROUTINE
I000142,A00014,TRD,2026-04-13,PASS,83,ROUTINE
I000150,A00015,TRD,2026-05-16,PASS,68,ROUTINE
I000151,A00015,TRD,2026-06-30,PASS,79,ROUTINE
I000152,A00015,TRD,2026-04-16,PASS,90,ROUTINE
I000160,A00016,ENG,2026-05-19,PASS,75,ROUTINE
I000161,A00016,ENG,2026-07-03,PASS,86,ROUTINE
I000162,A00016,ENG,2026-04-19,PASS,97,ROUTINE
I000170,A00017,ENG,2026-05-22,PASS,82,ROUTINE
I000171,A00017,ENG,2026-07-06,PASS,93,ROUTINE
I000172,A00017,ENG,2026-04-22,PASS,58,ROUTINE
I000180,A00018,ENG,2026-05-25,PASS,89,ROUTINE
I000181,A00018,ENG,2026-07-09,PASS,100,ROUTINE
I000182,A00018,ENG,2026-04-25,PASS,65,ROUTINE
I000190,A00019,ENG,2026-05-28,PASS,96,ROUTINE
I000191,A00019,ENG,2026-07-12,PASS,61,ROUTINE
I000192,A00019,ENG,2026-04-28,ATTENTION,72,ROUTINE
I000200,A00020,ENG,2026-05-31,PASS,57,ROUTINE
I000201,A00020,ENG,2026-07-15,ATTENTION,68,ROUTINE
I000202,A00020,ENG,2026-05-01,PASS,79,ROUTINE
I000210,A00021,SNT,2026-06-03,ATTENTION,64,ROUTINE
I000211,A00021,SNT,2026-07-18,PASS,75,ROUTINE
I000212,A00021,SNT,2026-05-04,PASS,86,ROUTINE
I000220,A00022,SNT,2026-06-06,PASS,71,ROUTINE
I000221,A00022,SNT,2026-07-21,PASS,82,ROUTINE
I000222,A00022,SNT,2026-05-07,PASS,93,ROUTINE
I000230,A00023,SNT,2026-06-09,PASS,78,ROUTINE
I000231,A00023,SNT,2026-07-24,PASS,89,ROUTINE
I000232,A00023,SNT,2026-05-10,PASS,100,ROUTINE
I000240,A00024,SNT,2026-06-12,PASS,85,ROUTINE
I000241,A00024,SNT,2026-07-27,PASS,96,ROUTINE
I000242,A00024,SNT,2026-05-13,PASS,61,ROUTINE
I000250,A00025,SNT,2026-06-15,PASS,92,ROUTINE
I000251,A00025,SNT,2026-04-01,PASS,57,ROUTINE
I000252,A00025,SNT,2026-05-16,PASS,68,ROUTINE
I000260,A00026,TRD,2026-06-18,PASS,99,ROUTINE
I000261,A00026,TRD,2026-04-04,PASS,64,ROUTINE
I000262,A00026,TRD,2026-05-19,ATTENTION,75,ROUTINE
I000270,A00027,TRD,2026-06-21,PASS,60,ROUTINE
I000271,A00027,TRD,2026-04-07,ATTENTION,71,ROUTINE
I000272,A00027,TRD,2026-05-22,PASS,82,ROUTINE
I000280,A00028,TRD,2026-06-24,ATTENTION,67,ROUTINE
I000281,A00028,TRD,2026-04-10,PASS,78,ROUTINE
I000282,A00028,TRD,2026-05-25,PASS,89,ROUTINE
I000290,A00029,TRD,2026-06-27,PASS,74,ROUTINE
I000291,A00029,TRD,2026-04-13,PASS,85,ROUTINE
I000292,A00029,TRD,2026-05-28,PASS,96,ROUTINE
I000300,A00030,TRD,2026-06-30,PASS,81,ROUTINE
I000301,A00030,TRD,2026-04-16,PASS,92,ROUTINE
I000302,A00030,TRD,2026-05-31,PASS,57,ROUTINE
I000310,A00031,ENG,2026-07-03,PASS,88,ROUTINE
I000311,A00031,ENG,2026-04-19,PASS,99,ROUTINE
I000312,A00031,ENG,2026-06-03,PASS,64,ROUTINE
I000320,A00032,ENG,2026-07-06,PASS,95,ROUTINE
I000321,A00032,ENG,2026-04-22,PASS,60,ROUTINE
I000322,A00032,ENG,2026-06-06,PASS,71,ROUTINE
I000330,A00033,ENG,2026-07-09,PASS,56,ROUTINE
I000331,A00033,ENG,2026-04-25,PASS,67,ROUTINE
I000332,A00033,ENG,2026-06-09,ATTENTION,78,ROUTINE
I000340,A00034,ENG,2026-07-12,PASS,63,ROUTINE
I000341,A00034,ENG,2026-04-28,ATTENTION,74,ROUTINE
I000342,A00034,ENG,2026-06-12,PASS,85,ROUTINE
I000350,A00035,ENG,2026-07-15,ATTENTION,70,ROUTINE
I000351,A00035,ENG,2026-05-01,PASS,81,ROUTINE
I000352,A00035,ENG,2026-06-15,PASS,92,ROUTINE
I000360,A00036,SNT,2026-07-18,PASS,77,ROUTINE
I000361,A00036,SNT,2026-05-04,PASS,88,ROUTINE
I000362,A00036,SNT,2026-06-18,PASS,99,ROUTINE
I000370,A00037,SNT,2026-07-21,PASS,84,ROUTINE
I000371,A00037,SNT,2026-05-07,PASS,95,ROUTINE
I000372,A00037,SNT,2026-06-21,PASS,60,ROUTINE
I000380,A00038,SNT,2026-07-24,PASS,91,ROUTINE
I000381,A00038,SNT,2026-05-10,PASS,56,ROUTINE
I000382,A00038,SNT,2026-06-24,PASS,67,ROUTINE
I000390,A00039,SNT,2026-07-27,PASS,98,ROUTINE
I000391,A00039,SNT,2026-05-13,PASS,63,ROUTINE
I000392,A00039,SNT,2026-06-27,PASS,74,ROUTINE
I000400,A00040,SNT,2026-04-01,PASS,59,ROUTINE
I000401,A00040,SNT,2026-05-16,PASS,70,ROUTINE
I000402,A00040,SNT,2026-06-30,ATTENTION,81,ROUTINE
I000410,A00041,TRD,2026-04-04,PASS,66,ROUTINE
I000411,A00041,TRD,2026-05-19,ATTENTION,77,ROUTINE
I000412,A00041,TRD,2026-07-03,PASS,88,ROUTINE
I000420,A00042,TRD,2026-04-07,ATTENTION,73,ROUTINE
I000421,A00042,TRD,2026-05-22,PASS,84,ROUTINE
I000422,A00042,TRD,2026-07-06,PASS,95,ROUTINE
I000430,A00043,TRD,2026-04-10,PASS,80,ROUTINE
I000431,A00043,TRD,2026-05-25,PASS,91,ROUTINE
I000432,A00043,TRD,2026-07-09,PASS,56,ROUTINE
I000440,A00044,TRD,2026-04-13,PASS,87,ROUTINE
I000441,A00044,TRD,2026-05-28,PASS,98,ROUTINE
I000442,A00044,TRD,2026-07-12,PASS,63,ROUTINE
I000450,A00045,TRD,2026-04-16,PASS,94,ROUTINE
I000451,A00045,TRD,2026-05-31,PASS,59,ROUTINE
I000452,A00045,TRD,2026-07-15,PASS,70,ROUTINE
I000460,A00046,ENG,2026-04-19,PASS,55,ROUTINE
I000461,A00046,ENG,2026-06-03,PASS,66,ROUTINE
I000462,A00046,ENG,2026-07-18,PASS,77,ROUTINE
I000470,A00047,ENG,2026-04-22,PASS,62,ROUTINE
I000471,A00047,ENG,2026-06-06,PASS,73,ROUTINE
I000472,A00047,ENG,2026-07-21,ATTENTION,84,ROUTINE
I000480,A00048,ENG,2026-04-25,PASS,69,ROUTINE
I000481,A00048,ENG,2026-06-09,ATTENTION,80,ROUTINE
I000482,A00048,ENG,2026-07-24,PASS,91,ROUTINE
I000490,A00049,ENG,2026-04-28,ATTENTION,76,ROUTINE
I000491,A00049,ENG,2026-06-12,PASS,87,ROUTINE
I000492,A00049,ENG,2026-07-27,PASS,98,ROUTINE
I000500,A00050,ENG,2026-05-01,PASS,83,ROUTINE
I000501,A00050,ENG,2026-06-15,PASS,94,ROUTINE
I000502,A00050,ENG,2026-04-01,PASS,59,ROUTINE
I000510,A00051,SNT,2026-05-04,PASS,90,ROUTINE
I000511,A00051,SNT,2026-06-18,PASS,55,ROUTINE
I000512,A00051,SNT,2026-04-04,PASS,66,ROUTINE
I000520,A00052,SNT,2026-05-07,PASS,97,ROUTINE
I000521,A00052,SNT,2026-06-21,PASS,62,ROUTINE
I000522,A00052,SNT,2026-04-07,PASS,73,ROUTINE
I000530,A00053,SNT,2026-05-10,PASS,58,ROUTINE
I000531,A00053,SNT,2026-06-24,PASS,69,ROUTINE
I000532,A00053,SNT,2026-04-10,PASS,80,ROUTINE
I000540,A00054,SNT,2026-05-13,PASS,65,ROUTINE
I000541,A00054,SNT,2026-06-27,PASS,76,ROUTINE
I000542,A00054,SNT,2026-04-13,ATTENTION,87,ROUTINE
I000550,A00055,SNT,2026-05-16,PASS,72,ROUTINE
I000551,A00055,SNT,2026-06-30,ATTENTION,83,ROUTINE
I000552,A00055,SNT,2026-04-16,PASS,94,ROUTINE
I000560,A00056,TRD,2026-05-19,ATTENTION,79,ROUTINE
I000561,A00056,TRD,2026-07-03,PASS,90,ROUTINE
I000562,A00056,TRD,2026-04-19,PASS,55,ROUTINE
I000570,A00057,TRD,2026-05-22,PASS,86,ROUTINE
I000571,A00057,TRD,2026-07-06,PASS,97,ROUTINE
I000572,A00057,TRD,2026-04-22,PASS,62,ROUTINE
I000580,A00058,TRD,2026-05-25,PASS,93,ROUTINE
I000581,A00058,TRD,2026-07-09,PASS,58,ROUTINE
I000582,A00058,TRD,2026-04-25,PASS,69,ROUTINE
