location_id,section_id,km_from_origin
S01-LOC1,S01,2.5
S01-LOC2,S01,5.0
S01-LOC3,S01,7.5
S01-LOC4,S01,10.0
S01-LOC5,S01,12.5
S02-LOC1,S02,2.5
S02-LOC2,S02,5.0
S02-LOC3,S02,7.5
S02-LOC4,S02,10.0
S02-LOC5,S02,12.5
S03-LOC1,S03,2.5
S03-LOC2,S03,5.0
S03-LOC3,S03,7.5
S03-LOC4,S03,10.0
S03-LOC5,S03,12.5
S04-LOC1,S04,2.5
S04-LOC2,S04,5.0
S04-LOC3,S04,7.5
S04-LOC4,S04,10.0
S04-LOC5,S04,12.5
S05-LOC1,S05,2.5
S05-LOC2,S05,5.0
S05-LOC3,S05,7.5
S05-LOC4,S05,10.0
S05-LOC5,S05,12.5
S06-LOC1,S06,2.5
S06-LOC2,S06,5.0
S06-LOC3,S06,7.5
S06-LOC4,S06,10.0
S06-LOC5,S06,12.5
S07-LOC1,S07,2.5
S07-LOC2,S07,5.0
S07-LOC3,S07,7.5
S07-LOC4,S07,10.0
S07-LOC5,S07,12.5
S08-LOC1,S08,2.5
S08-LOC2,S08,5.0
S08-LOC3,S08,7.5
S08-LOC4,S08,10.0
S08-LOC5,S08,12.5
S09-LOC1,S09,2.5
S09-LOC2,S09,5.0
S09-LOC3,S09,7.5
S09-LOC4,S09,10.0
S09-LOC5,S09,12.5
S10-LOC1,S10,2.5
S10-LOC2,S10,5.0
S10-LOC3,S10,7.5
S10-LOC4,S10,10.0
S10-LOC5,S10,12.5
