task_id,asset_id,department_id,section_id,task_type,defect_id,due_date,estimated_duration_min,priority_score,status,preferred_window,power_block_required
T00001,A00001,ENG,S01,CORRECTIVE,,2026-09-03,90,46.2,PLANNED,PREFERRED_NIGHT,False
T00002,A00002,ENG,S01,INSPECTION,,2026-09-04,120,61.4,OVERDUE,EMERGENCY,False
T00003,A00003,ENG,S01,OVERDUE,,2026-09-05,150,76.6,EMERGENCY,NORMAL,False
T00004,A00004,ENG,S01,PREVENTIVE,D00004,2026-09-06,180,61.0,OPEN,PREFERRED_NIGHT,False
T00005,A00005,ENG,S01,CORRECTIVE,,2026-09-07,60,76.2,PLANNED,EMERGENCY,False
T00006,A00006,SNT,S01,INSPECTION,,2026-08-14,90,91.4,OVERDUE,NORMAL,False
T00007,A00007,SNT,S01,OVERDUE,,2026-09-09,120,39.8,EMERGENCY,PREFERRED_NIGHT,True
T00008,A00008,SNT,S01,PREVENTIVE,D00008,2026-09-10,150,55.0,OPEN,EMERGENCY,False
T00009,A00009,SNT,S01,CORRECTIVE,,2026-09-11,180,70.2,PLANNED,NORMAL,False
T00010,A00010,SNT,S01,INSPECTION,,2026-09-12,60,54.6,OVERDUE,PREFERRED_NIGHT,False
T00011,A00011,TRD,S01,OVERDUE,,2026-09-13,90,69.8,EMERGENCY,EMERGENCY,False
T00012,A00012,TRD,S01,PREVENTIVE,D00012,2026-08-16,120,85.0,OPEN,NORMAL,False
T00013,A00013,TRD,S01,CORRECTIVE,,2026-09-15,150,64.2,PLANNED,PREFERRED_NIGHT,False
T00014,A00014,TRD,S01,INSPECTION,,2026-09-16,180,48.6,OVERDUE,EMERGENCY,True
T00015,A00015,TRD,S01,OVERDUE,,2026-09-17,60,63.8,EMERGENCY,NORMAL,False
T00016,A00016,ENG,S02,PREVENTIVE,D00016,2026-09-18,90,79.0,OPEN,PREFERRED_NIGHT,False
T00017,A00017,ENG,S02,CORRECTIVE,,2026-09-19,120,63.4,PLANNED,EMERGENCY,False
T00018,A00018,ENG,S02,INSPECTION,,2026-08-18,150,78.6,OVERDUE,NORMAL,False
T00019,A00019,ENG,S02,OVERDUE,,2026-09-21,180,57.8,EMERGENCY,PREFERRED_NIGHT,False
T00020,A00020,ENG,S02,PREVENTIVE,D00020,2026-09-22,60,42.2,OPEN,EMERGENCY,False
T00021,A00021,SNT,S02,CORRECTIVE,,2026-09-23,90,57.4,PLANNED,NORMAL,True
T00022,A00022,SNT,S02,INSPECTION,,2026-09-24,120,72.6,OVERDUE,PREFERRED_NIGHT,False
T00023,A00023,SNT,S02,OVERDUE,,2026-09-25,150,87.8,EMERGENCY,EMERGENCY,False
T00024,A00024,SNT,S02,PREVENTIVE,D00024,2026-08-20,180,72.2,OPEN,NORMAL,False
T00025,A00025,SNT,S02,CORRECTIVE,,2026-09-27,60,51.4,PLANNED,PREFERRED_NIGHT,False
T00026,A00026,TRD,S02,INSPECTION,,2026-09-28,90,66.6,OVERDUE,EMERGENCY,False
T00027,A00027,TRD,S02,OVERDUE,,2026-09-29,120,51.0,EMERGENCY,NORMAL,False
T00028,A00028,TRD,S02,PREVENTIVE,D00028,2026-09-02,150,66.2,OPEN,PREFERRED_NIGHT,True
T00029,A00029,TRD,S02,CORRECTIVE,,2026-09-03,180,81.4,PLANNED,EMERGENCY,False
T00030,A00030,TRD,S02,INSPECTION,,2026-08-14,60,65.8,OVERDUE,NORMAL,False
T00031,A00031,ENG,S03,OVERDUE,,2026-09-05,90,45.0,EMERGENCY,PREFERRED_NIGHT,False
T00032,A00032,ENG,S03,PREVENTIVE,D00032,2026-09-06,120,60.2,OPEN,EMERGENCY,False
T00033,A00033,ENG,S03,CORRECTIVE,,2026-09-07,150,44.6,PLANNED,NORMAL,False
T00034,A00034,ENG,S03,INSPECTION,,2026-09-08,180,59.8,OVERDUE,PREFERRED_NIGHT,False
T00035,A00035,ENG,S03,OVERDUE,,2026-09-09,60,75.0,EMERGENCY,EMERGENCY,True
T00036,A00036,SNT,S03,PREVENTIVE,D00036,2026-08-16,90,90.2,OPEN,NORMAL,False
T00037,A00037,SNT,S03,CORRECTIVE,,2026-09-11,120,38.6,PLANNED,PREFERRED_NIGHT,False
T00038,A00038,SNT,S03,INSPECTION,,2026-09-12,150,53.8,OVERDUE,EMERGENCY,False
T00039,A00039,SNT,S03,OVERDUE,,2026-09-13,180,69.0,EMERGENCY,NORMAL,False
T00040,A00040,SNT,S03,PREVENTIVE,D00040,2026-09-14,60,53.4,OPEN,PREFERRED_NIGHT,False
T00041,A00041,TRD,S03,CORRECTIVE,,2026-09-15,90,68.6,PLANNED,EMERGENCY,False
T00042,A00042,TRD,S03,INSPECTION,,2026-08-18,120,83.8,OVERDUE,NORMAL,True
T00043,A00043,TRD,S03,OVERDUE,,2026-09-17,150,68.2,EMERGENCY,PREFERRED_NIGHT,False
T00044,A00044,TRD,S03,PREVENTIVE,D00044,2026-09-18,180,47.4,OPEN,EMERGENCY,False
T00045,A00045,TRD,S03,CORRECTIVE,,2026-09-19,60,62.6,PLANNED,NORMAL,False
T00046,A00046,ENG,S04,INSPECTION,,2026-09-20,90,77.8,OVERDUE,PREFERRED_NIGHT,False
T00047,A00047,ENG,S04,OVERDUE,,2026-09-21,120,62.2,EMERGENCY,EMERGENCY,False
T00048,A00048,ENG,S04,PREVENTIVE,D00048,2026-08-20,150,77.4,OPEN,NORMAL,False
T00049,A00049,ENG,S04,CORRECTIVE,,2026-09-23,180,92.6,PLANNED,PREFERRED_NIGHT,True
T00050,A00050,ENG,S04,INSPECTION,,2026-09-24,60,41.0,OVERDUE,EMERGENCY,False
T00051,A00051,SNT,S04,OVERDUE,,2026-09-25,90,56.2,EMERGENCY,NORMAL,False
T00052,A00052,SNT,S04,PREVENTIVE,D00052,2026-09-26,120,71.4,OPEN,PREFERRED_NIGHT,False
T00053,A00053,SNT,S04,CORRECTIVE,,2026-09-27,150,55.8,PLANNED,EMERGENCY,False
T00054,A00054,SNT,S04,INSPECTION,,2026-08-14,180,71.0,OVERDUE,NORMAL,False
T00055,A00055,SNT,S04,OVERDUE,,2026-09-29,60,86.2,EMERGENCY,PREFERRED_NIGHT,False
T00056,A00056,TRD,S04,PREVENTIVE,D00056,2026-09-02,90,34.6,OPEN,EMERGENCY,True
T00057,A00057,TRD,S04,CORRECTIVE,,2026-09-03,120,49.8,PLANNED,NORMAL,False
T00058,A00058,TRD,S04,INSPECTION,,2026-09-04,150,65.0,OVERDUE,PREFERRED_NIGHT,False
T00059,A00059,TRD,S04,OVERDUE,,2026-09-05,180,80.2,EMERGENCY,EMERGENCY,False
T00060,A00060,TRD,S04,PREVENTIVE,D00060,2026-08-16,60,64.6,OPEN,NORMAL,False
T00061,A00061,ENG,S05,CORRECTIVE,,2026-09-07,90,79.8,PLANNED,PREFERRED_NIGHT,False
T00062,A00062,ENG,S05,INSPECTION,,2026-09-08,120,59.0,OVERDUE,EMERGENCY,False
T00063,A00063,ENG,S05,OVERDUE,,2026-09-09,150,43.4,EMERGENCY,NORMAL,True
T00064,A00064,ENG,S05,PREVENTIVE,D00064,2026-09-10,180,58.6,OPEN,PREFERRED_NIGHT,False
T00065,A00065,ENG,S05,CORRECTIVE,,2026-09-11,60,73.8,PLANNED,EMERGENCY,False
T00066,A00066,SNT,S05,INSPECTION,,2026-08-18,90,58.2,OVERDUE,NORMAL,False
T00067,A00067,SNT,S05,OVERDUE,,2026-09-13,120,73.4,EMERGENCY,PREFERRED_NIGHT,False
T00068,A00068,SNT,S05,PREVENTIVE,D00068,2026-09-14,150,52.6,OPEN,EMERGENCY,False
T00069,A00069,SNT,S05,CORRECTIVE,,2026-09-15,180,67.8,PLANNED,NORMAL,False
T00070,A00070,SNT,S05,INSPECTION,,2026-09-16,60,52.2,OVERDUE,PREFERRED_NIGHT,True
T00071,A00071,TRD,S05,OVERDUE,,2026-09-17,90,67.4,EMERGENCY,EMERGENCY,False
T00072,A00072,TRD,S05,PREVENTIVE,D00072,2026-08-20,120,82.6,OPEN,NORMAL,False
T00073,A00073,TRD,S05,CORRECTIVE,,2026-09-19,150,67.0,PLANNED,PREFERRED_NIGHT,False
T00074,A00074,TRD,S05,INSPECTION,,2026-09-20,180,46.2,OVERDUE,EMERGENCY,False
T00075,A00075,TRD,S05,OVERDUE,,2026-09-21,60,61.4,EMERGENCY,NORMAL,False
T00076,A00076,ENG,S06,PREVENTIVE,D00076,2026-09-22,90,45.8,OPEN,PREFERRED_NIGHT,False
T00077,A00077,ENG,S06,CORRECTIVE,,2026-09-23,120,61.0,PLANNED,EMERGENCY,True
T00078,A00078,ENG,S06,INSPECTION,,2026-08-14,150,76.2,OVERDUE,NORMAL,False
T00079,A00079,ENG,S06,OVERDUE,,2026-09-25,180,91.4,EMERGENCY,PREFERRED_NIGHT,False
T00080,A00080,ENG,S06,PREVENTIVE,D00080,2026-09-26,60,39.8,OPEN,EMERGENCY,False
T00081,A00081,SNT,S06,CORRECTIVE,,2026-09-27,90,55.0,PLANNED,NORMAL,False
