scenario_id,metric_name,target_value,unit,direction
SC01,blocks_completed,,COUNT,HIGHER_BETTER
SC01,high_priority_tasks_completed,,COUNT,HIGHER_BETTER
SC01,train_conflict_minutes,,MINUTES,LOWER_BETTER
SC01,total_block_minutes,,MINUTES,MINIMIZE_SUBJECT_TO_COVERAGE
SC01,resource_utilization,,RATIO,BALANCED
SC02,blocks_completed,,COUNT,HIGHER_BETTER
SC02,high_priority_tasks_completed,,COUNT,HIGHER_BETTER
SC02,train_conflict_minutes,,MINUTES,LOWER_BETTER
SC02,total_block_minutes,,MINUTES,MINIMIZE_SUBJECT_TO_COVERAGE
SC02,resource_utilization,,RATIO,BALANCED
SC03,blocks_completed,,COUNT,HIGHER_BETTER
SC03,high_priority_tasks_completed,,COUNT,HIGHER_BETTER
SC03,train_conflict_minutes,,MINUTES,LOWER_BETTER
SC03,total_block_minutes,,MINUTES,MINIMIZE_SUBJECT_TO_COVERAGE
SC03,resource_utilization,,RATIO,BALANCED
SC04,blocks_completed,,COUNT,HIGHER_BETTER
SC04,high_priority_tasks_completed,,COUNT,HIGHER_BETTER
SC04,train_conflict_minutes,,MINUTES,LOWER_BETTER
SC04,total_block_minutes,,MINUTES,MINIMIZE_SUBJECT_TO_COVERAGE
SC04,resource_utilization,,RATIO,BALANCED
SC05,blocks_completed,,COUNT,HIGHER_BETTER
SC05,high_priority_tasks_completed,,COUNT,HIGHER_BETTER
SC05,train_conflict_minutes,,MINUTES,LOWER_BETTER
SC05,total_block_minutes,,MINUTES,MINIMIZE_SUBJECT_TO_COVERAGE
SC05,resource_utilization,,RATIO,BALANCED
SC06,blocks_completed,,COUNT,HIGHER_BETTER
SC06,high_priority_tasks_completed,,COUNT,HIGHER_BETTER
SC06,train_conflict_minutes,,MINUTES,LOWER_BETTER
SC06,total_block_minutes,,MINUTES,MINIMIZE_SUBJECT_TO_COVERAGE
SC06,resource_utilization,,RATIO,BALANCED
