restriction_id,section_id,date,restriction_type,restriction_code,severity,description
RES0001,S02,2026-09-02,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S02
RES0002,S03,2026-09-03,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S03
RES0003,S04,2026-09-04,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S04
RES0004,S05,2026-09-05,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S05
RES0005,S06,2026-09-06,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S06
RES0006,S07,2026-09-07,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S07
RES0007,S08,2026-09-08,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S08
RES0008,S09,2026-09-09,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S09
RES0009,S10,2026-09-10,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S10
RES0010,S01,2026-09-11,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S01
RES0011,S02,2026-09-12,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S02
RES0012,S03,2026-09-13,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S03
RES0013,S04,2026-09-14,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S04
RES0014,S05,2026-09-15,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S05
RES0015,S06,2026-09-16,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S06
RES0016,S07,2026-09-17,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S07
RES0017,S08,2026-09-18,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S08
RES0018,S09,2026-09-19,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S09
RES0019,S10,2026-09-20,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S10
RES0020,S01,2026-09-21,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S01
RES0021,S02,2026-09-22,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S02
RES0022,S03,2026-09-23,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S03
RES0023,S04,2026-09-24,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S04
RES0024,S05,2026-09-25,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S05
RES0025,S06,2026-09-26,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S06
RES0026,S07,2026-09-27,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S07
RES0027,S08,2026-09-28,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S08
RES0028,S09,2026-09-01,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S09
RES0029,S10,2026-09-02,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S10
RES0030,S01,2026-09-03,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S01
RES0031,S02,2026-09-04,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S02
RES0032,S03,2026-09-05,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S03
RES0033,S04,2026-09-06,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S04
RES0034,S05,2026-09-07,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S05
RES0035,S06,2026-09-08,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S06
RES0036,S07,2026-09-09,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S07
RES0037,S08,2026-09-10,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S08
RES0038,S09,2026-09-11,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S09
RES0039,S10,2026-09-12,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S10
RES0040,S01,2026-09-13,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S01
RES0041,S02,2026-09-14,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S02
RES0042,S03,2026-09-15,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S03
RES0043,S04,2026-09-16,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S04
RES0044,S05,2026-09-17,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S05
RES0045,S06,2026-09-18,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S06
RES0046,S07,2026-09-19,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S07
RES0047,S08,2026-09-20,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S08
RES0048,S09,2026-09-21,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S09
RES0049,S10,2026-09-22,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S10
RES0050,S01,2026-09-23,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S01
RES0051,S02,2026-09-24,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S02
RES0052,S03,2026-09-25,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S03
RES0053,S04,2026-09-26,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S04
RES0054,S05,2026-09-27,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S05
RES0055,S06,2026-09-28,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S06
RES0056,S07,2026-09-01,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S07
RES0057,S08,2026-09-02,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S08
RES0058,S09,2026-09-03,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S09
RES0059,S10,2026-09-04,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S10
RES0060,S01,2026-09-05,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S01
RES0061,S02,2026-09-06,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S02
RES0062,S03,2026-09-07,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S03
RES0063,S04,2026-09-08,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S04
RES0064,S05,2026-09-09,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S05
RES0065,S06,2026-09-10,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S06
RES0066,S07,2026-09-11,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S07
RES0067,S08,2026-09-12,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S08
RES0068,S09,2026-09-13,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S09
RES0069,S10,2026-09-14,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S10
RES0070,S01,2026-09-15,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S01
RES0071,S02,2026-09-16,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S02
RES0072,S03,2026-09-17,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S03
RES0073,S04,2026-09-18,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S04
RES0074,S05,2026-09-19,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S05
RES0075,S06,2026-09-20,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S06
RES0076,S07,2026-09-21,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S07
RES0077,S08,2026-09-22,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S08
RES0078,S09,2026-09-23,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S09
RES0079,S10,2026-09-24,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S10
RES0080,S01,2026-09-25,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S01
RES0081,S02,2026-09-26,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S02
RES0082,S03,2026-09-27,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S03
RES0083,S04,2026-09-28,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S04
RES0084,S05,2026-09-01,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S05
RES0085,S06,2026-09-02,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S06
RES0086,S07,2026-09-03,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S07
