dependency_id,predecessor_task_id,successor_task_id,dependency_type,reason
DEP0001,T00008,T00011,PRECEDENCE,Predecessor must finish first
DEP0002,T00015,T00018,PRECEDENCE,Predecessor must finish first
DEP0003,T00022,T00025,PRECEDENCE,Predecessor must finish first
DEP0004,T00029,T00032,PRECEDENCE,Predecessor must finish first
DEP0005,T00036,T00039,PRECEDENCE,Predecessor must finish first
DEP0006,T00043,T00046,PRECEDENCE,Predecessor must finish first
DEP0007,T00050,T00053,PRECEDENCE,Predecessor must finish first
DEP0008,T00057,T00060,PRECEDENCE,Predecessor must finish first
DEP0009,T00064,T00067,PRECEDENCE,Predecessor must finish first
DEP0010,T00071,T00074,PRECEDENCE,Predecessor must finish first
DEP0011,T00078,T00081,PRECEDENCE,Predecessor must finish first
DEP0012,T00085,T00088,PRECEDENCE,Predecessor must finish first
DEP0013,T00092,T00095,PRECEDENCE,Predecessor must finish first
DEP0014,T00099,T00102,PRECEDENCE,Predecessor must finish first
DEP0015,T00106,T00109,PRECEDENCE,Predecessor must finish first
DEP0016,T00113,T00116,PRECEDENCE,Predecessor must finish first
DEP0017,T00120,T00123,PRECEDENCE,Predecessor must finish first
DEP0018,T00127,T00130,PRECEDENCE,Predecessor must finish first
DEP0019,T00134,T00137,PRECEDENCE,Predecessor must finish first
DEP0020,T00141,T00144,PRECEDENCE,Predecessor must finish first
DEP0021,T00148,T00001,PRECEDENCE,Predecessor must finish first
DEP0022,T00005,T00008,PRECEDENCE,Predecessor must finish first
DEP0023,T00012,T00015,PRECEDENCE,Predecessor must finish first
DEP0024,T00019,T00022,PRECEDENCE,Predecessor must finish first
DEP0025,T00026,T00029,PRECEDENCE,Predecessor must finish first
DEP0026,T00033,T00036,PRECEDENCE,Predecessor must finish first
DEP0027,T00040,T00043,PRECEDENCE,Predecessor must finish first
DEP0028,T00047,T00050,PRECEDENCE,Predecessor must finish first
DEP0029,T00054,T00057,PRECEDENCE,Predecessor must finish first
DEP0030,T00061,T00064,PRECEDENCE,Predecessor must finish first
DEP0031,T00068,T00071,PRECEDENCE,Predecessor must finish first
DEP0032,T00075,T00078,PRECEDENCE,Predecessor must finish first
DEP0033,T00082,T00085,PRECEDENCE,Predecessor must finish first
DEP0034,T00089,T00092,PRECEDENCE,Predecessor must finish first
DEP0035,T00096,T00099,PRECEDENCE,Predecessor must finish first
DEP0036,T00103,T00106,PRECEDENCE,Predecessor must finish first
DEP0037,T00110,T00113,PRECEDENCE,Predecessor must finish first
DEP0038,T00117,T00120,PRECEDENCE,Predecessor must finish first
DEP0039,T00124,T00127,PRECEDENCE,Predecessor must finish first
DEP0040,T00131,T00134,PRECEDENCE,Predecessor must finish first
DEP0041,T00138,T00141,PRECEDENCE,Predecessor must finish first
DEP0042,T00145,T00148,PRECEDENCE,Predecessor must finish first
DEP0043,T00002,T00005,PRECEDENCE,Predecessor must finish first
DEP0044,T00009,T00012,PRECEDENCE,Predecessor must finish first
DEP0045,T00016,T00019,PRECEDENCE,Predecessor must finish first
DEP0046,T00023,T00026,PRECEDENCE,Predecessor must finish first
DEP0047,T00030,T00033,PRECEDENCE,Predecessor must finish first
DEP0048,T00037,T00040,PRECEDENCE,Predecessor must finish first
DEP0049,T00044,T00047,PRECEDENCE,Predecessor must finish first
DEP0050,T00051,T00054,PRECEDENCE,Predecessor must finish first
DEP0051,T00058,T00061,PRECEDENCE,Predecessor must finish first
DEP0052,T00065,T00068,PRECEDENCE,Predecessor must finish first
DEP0053,T00072,T00075,PRECEDENCE,Predecessor must finish first
DEP0054,T00079,T00082,PRECEDENCE,Predecessor must finish first
DEP0055,T00086,T00089,PRECEDENCE,Predecessor must finish first
DEP0056,T00093,T00096,PRECEDENCE,Predecessor must finish first
DEP0057,T00100,T00103,PRECEDENCE,Predecessor must finish first
DEP0058,T00107,T00110,PRECEDENCE,Predecessor must finish first
DEP0059,T00114,T00117,PRECEDENCE,Predecessor must finish first
DEP0060,T00121,T00124,PRECEDENCE,Predecessor must finish first
DEP0061,T00128,T00131,PRECEDENCE,Predecessor must finish first
DEP0062,T00135,T00138,PRECEDENCE,Predecessor must finish first
DEP0063,T00142,T00145,PRECEDENCE,Predecessor must finish first
DEP0064,T00149,T00002,PRECEDENCE,Predecessor must finish first
DEP0065,T00006,T00009,PRECEDENCE,Predecessor must finish first
DEP0066,T00013,T00016,PRECEDENCE,Predecessor must finish first
DEP0067,T00020,T00023,PRECEDENCE,Predecessor must finish first
DEP0068,T00027,T00030,PRECEDENCE,Predecessor must finish first
DEP0069,T00034,T00037,PRECEDENCE,Predecessor must finish first
DEP0070,T00041,T00044,PRECEDENCE,Predecessor must finish first
DEP0071,T00048,T00051,PRECEDENCE,Predecessor must finish first
DEP0072,T00055,T00058,PRECEDENCE,Predecessor must finish first
DEP0073,T00062,T00065,PRECEDENCE,Predecessor must finish first
DEP0074,T00069,T00072,PRECEDENCE,Predecessor must finish first
DEP0075,T00076,T00079,PRECEDENCE,Predecessor must finish first
DEP0076,T00083,T00086,PRECEDENCE,Predecessor must finish first
DEP0077,T00090,T00093,PRECEDENCE,Predecessor must finish first
DEP0078,T00097,T00100,PRECEDENCE,Predecessor must finish first
DEP0079,T00104,T00107,PRECEDENCE,Predecessor must finish first
DEP0080,T00111,T00114,PRECEDENCE,Predecessor must finish first
DEP0081,T00118,T00121,PRECEDENCE,Predecessor must finish first
DEP0082,T00125,T00128,PRECEDENCE,Predecessor must finish first
DEP0083,T00132,T00135,PRECEDENCE,Predecessor must finish first
DEP0084,T00139,T00142,PRECEDENCE,Predecessor must finish first
DEP0085,T00146,T00149,PRECEDENCE,Predecessor must finish first
DEP0086,T00003,T00006,PRECEDENCE,Predecessor must finish first
DEP0087,T00010,T00013,PRECEDENCE,Predecessor must finish first
DEP0088,T00017,T00020,PRECEDENCE,Predecessor must finish first
DEP0089,T00024,T00027,PRECEDENCE,Predecessor must finish first
DEP0090,T00031,T00034,PRECEDENCE,Predecessor must finish first
DEP0091,T00038,T00041,PRECEDENCE,Predecessor must finish first
DEP0092,T00045,T00048,PRECEDENCE,Predecessor must finish first
DEP0093,T00052,T00055,PRECEDENCE,Predecessor must finish first
DEP0094,T00059,T00062,PRECEDENCE,Predecessor must finish first
DEP0095,T00066,T00069,PRECEDENCE,Predecessor must finish first
DEP0096,T00073,T00076,PRECEDENCE,Predecessor must finish first
DEP0097,T00080,T00083,PRECEDENCE,Predecessor must finish first
DEP0098,T00087,T00090,PRECEDENCE,Predecessor must finish first
DEP0099,T00094,T00097,PRECEDENCE,Predecessor must finish first
DEP0100,T00101,T00104,PRECEDENCE,Predecessor must finish first
DEP0101,T00108,T00111,PRECEDENCE,Predecessor must finish first
DEP0102,T00115,T00118,PRECEDENCE,Predecessor must finish first
DEP0103,T00122,T00125,PRECEDENCE,Predecessor must finish first
DEP0104,T00129,T00132,PRECEDENCE,Predecessor must finish first
DEP0105,T00136,T00139,PRECEDENCE,Predecessor must finish first
DEP0106,T00143,T00146,PRECEDENCE,Predecessor must finish first
DEP0107,T00150,T00003,PRECEDENCE,Predecessor must finish first
DEP0108,T00007,T00010,PRECEDENCE,Predecessor must finish first
DEP0109,T00014,T00017,PRECEDENCE,Predecessor must finish first
DEP0110,T00021,T00024,PRECEDENCE,Predecessor must finish first
DEP0111,T00028,T00031,PRECEDENCE,Predecessor must finish first
DEP0112,T00035,T00038,PRECEDENCE,Predecessor must finish first
DEP0113,T00042,T00045,PRECEDENCE,Predecessor must finish first
DEP0114,T00049,T00052,PRECEDENCE,Predecessor must finish first
DEP0115,T00056,T00059,PRECEDENCE,Predecessor must finish first
DEP0116,T00063,T00066,PRECEDENCE,Predecessor must finish first
DEP0117,T00070,T00073,PRECEDENCE,Predecessor must finish first
DEP0118,T00077,T00080,PRECEDENCE,Predecessor must finish first
DEP0119,T00084,T00087,PRECEDENCE,Predecessor must finish first
DEP0120,T00091,T00094,PRECEDENCE,Predecessor must finish first
