train_event_id,train_type,service_date,entry_time,exit_time,section_id,operational_priority,is_forecast
TR00001,EXPRESS,2026-09-02,05:37,06:02,S04,5,False
TR00002,FREIGHT,2026-09-03,06:14,06:49,S07,3,False
TR00003,ENGINEERING,2026-09-04,06:51,07:36,S10,2,False
TR00004,PASSENGER,2026-09-05,07:28,07:48,S03,4,False
TR00005,EXPRESS,2026-09-06,08:05,08:30,S06,5,False
TR00006,FREIGHT,2026-09-07,08:42,09:17,S09,3,False
TR00007,ENGINEERING,2026-09-08,09:19,10:04,S02,2,False
TR00008,PASSENGER,2026-09-09,09:56,10:16,S05,4,False
TR00009,EXPRESS,2026-09-10,10:33,10:58,S08,5,True
TR00010,FREIGHT,2026-09-11,11:10,11:45,S01,3,False
TR00011,ENGINEERING,2026-09-12,11:47,12:32,S04,2,False
TR00012,PASSENGER,2026-09-13,12:24,12:44,S07,4,False
TR00013,EXPRESS,2026-09-14,13:01,13:26,S10,5,False
TR00014,FREIGHT,2026-09-15,13:38,14:13,S03,3,False
TR00015,ENGINEERING,2026-09-16,14:15,15:00,S06,2,False
TR00016,PASSENGER,2026-09-17,14:52,15:12,S09,4,False
TR00017,EXPRESS,2026-09-18,15:29,15:54,S02,5,False
TR00018,FREIGHT,2026-09-19,16:06,16:41,S05,3,True
TR00019,ENGINEERING,2026-09-20,16:43,17:28,S08,2,False
TR00020,PASSENGER,2026-09-21,17:20,17:40,S01,4,False
TR00021,EXPRESS,2026-09-22,17:57,18:22,S04,5,False
TR00022,FREIGHT,2026-09-23,18:34,19:09,S07,3,False
TR00023,ENGINEERING,2026-09-24,19:11,19:56,S10,2,False
TR00024,PASSENGER,2026-09-25,19:48,20:08,S03,4,False
TR00025,EXPRESS,2026-09-26,20:25,20:50,S06,5,False
TR00026,FREIGHT,2026-09-27,21:02,21:37,S09,3,False
TR00027,ENGINEERING,2026-09-28,21:39,22:24,S02,2,True
TR00028,PASSENGER,2026-09-01,05:16,05:36,S05,4,False
TR00029,EXPRESS,2026-09-02,05:53,06:18,S08,5,False
TR00030,FREIGHT,2026-09-03,06:30,07:05,S01,3,False
TR00031,ENGINEERING,2026-09-04,07:07,07:52,S04,2,False
TR00032,PASSENGER,2026-09-05,07:44,08:04,S07,4,False
TR00033,EXPRESS,2026-09-06,08:21,08:46,S10,5,False
TR00034,FREIGHT,2026-09-07,08:58,09:33,S03,3,False
TR00035,ENGINEERING,2026-09-08,09:35,10:20,S06,2,False
TR00036,PASSENGER,2026-09-09,10:12,10:32,S09,4,True
TR00037,EXPRESS,2026-09-10,10:49,11:14,S02,5,False
TR00038,FREIGHT,2026-09-11,11:26,12:01,S05,3,False
TR00039,ENGINEERING,2026-09-12,12:03,12:48,S08,2,False
TR00040,PASSENGER,2026-09-13,12:40,13:00,S01,4,False
TR00041,EXPRESS,2026-09-14,13:17,13:42,S04,5,False
TR00042,FREIGHT,2026-09-15,13:54,14:29,S07,3,False
TR00043,ENGINEERING,2026-09-16,14:31,15:16,S10,2,False
TR00044,PASSENGER,2026-09-17,15:08,15:28,S03,4,False
TR00045,EXPRESS,2026-09-18,15:45,16:10,S06,5,True
TR00046,FREIGHT,2026-09-19,16:22,16:57,S09,3,False
TR00047,ENGINEERING,2026-09-20,16:59,17:44,S02,2,False
TR00048,PASSENGER,2026-09-21,17:36,17:56,S05,4,False
TR00049,EXPRESS,2026-09-22,18:13,18:38,S08,5,False
TR00050,FREIGHT,2026-09-23,18:50,19:25,S01,3,False
TR00051,ENGINEERING,2026-09-24,19:27,20:12,S04,2,False
TR00052,PASSENGER,2026-09-25,20:04,20:24,S07,4,False
TR00053,EXPRESS,2026-09-26,20:41,21:06,S10,5,False
TR00054,FREIGHT,2026-09-27,21:18,21:53,S03,3,True
TR00055,ENGINEERING,2026-09-28,21:55,22:40,S06,2,False
TR00056,PASSENGER,2026-09-01,05:32,05:52,S09,4,False
TR00057,EXPRESS,2026-09-02,06:09,06:34,S02,5,False
TR00058,FREIGHT,2026-09-03,06:46,07:21,S05,3,False
TR00059,ENGINEERING,2026-09-04,07:23,08:08,S08,2,False
TR00060,PASSENGER,2026-09-05,08:00,08:20,S01,4,False
TR00061,EXPRESS,2026-09-06,08:37,09:02,S04,5,False
TR00062,FREIGHT,2026-09-07,09:14,09:49,S07,3,False
TR00063,ENGINEERING,2026-09-08,09:51,10:36,S10,2,True
TR00064,PASSENGER,2026-09-09,10:28,10:48,S03,4,False
TR00065,EXPRESS,2026-09-10,11:05,11:30,S06,5,False
TR00066,FREIGHT,2026-09-11,11:42,12:17,S09,3,False
TR00067,ENGINEERING,2026-09-12,12:19,13:04,S02,2,False
TR00068,PASSENGER,2026-09-13,12:56,13:16,S05,4,False
TR00069,EXPRESS,2026-09-14,13:33,13:58,S08,5,False
TR00070,FREIGHT,2026-09-15,14:10,14:45,S01,3,False
TR00071,ENGINEERING,2026-09-16,14:47,15:32,S04,2,False
TR00072,PASSENGER,2026-09-17,15:24,15:44,S07,4,True
TR00073,EXPRESS,2026-09-18,16:01,16:26,S10,5,False
TR00074,FREIGHT,2026-09-19,16:38,17:13,S03,3,False
TR00075,ENGINEERING,2026-09-20,17:15,18:00,S06,2,False
TR00076,PASSENGER,2026-09-21,17:52,18:12,S09,4,False
TR00077,EXPRESS,2026-09-22,18:29,18:54,S02,5,False
TR00078,FREIGHT,2026-09-23,19:06,19:41,S05,3,False
TR00079,ENGINEERING,2026-09-24,19:43,20:28,S08,2,False
TR00080,PASSENGER,2026-09-25,20:20,20:40,S01,4,False
TR00081,EXPRESS,2026-09-26,20:57,21:22,S04,5,True
TR00082,FREIGHT,2026-09-27,21:34,22:09,S07,3,False
TR00083,ENGINEERING,2026-09-28,05:11,05:56,S10,2,False
TR00084,PASSENGER,2026-09-01,05:48,06:08,S03,4,False
TR00085,EXPRESS,2026-09-02,06:25,06:50,S06,5,False
TR00086,FREIGHT,2026-09-03,07:02,07:37,S09,3,False
TR00087,ENGINEERING,2026-09-04,07:39,08:24,S02,2,False
TR00088,PASSENGER,2026-09-05,08:16,08:36,S05,4,False
TR00089,EXPRESS,2026-09-06,08:53,09:18,S08,5,False
TR00090,FREIGHT,2026-09-07,09:30,10:05,S01,3,True
TR00091,ENGINEERING,2026-09-08,10:07,10:52,S04,2,False
TR00092,PASSENGER,2026-09-09,10:44,11:04,S07,4,False
TR00093,EXPRESS,2026-09-10,11:21,11:46,S10,5,False
TR00094,FREIGHT,2026-09-11,11:58,12:33,S03,3,False
TR00095,ENGINEERING,2026-09-12,12:35,13:20,S06,2,False
TR00096,PASSENGER,2026-09-13,13:12,13:32,S09,4,False
TR00097,EXPRESS,2026-09-14,13:49,14:14,S02,5,False
TR00098,FREIGHT,2026-09-15,14:26,15:01,S05,3,False
TR00099,ENGINEERING,2026-09-16,15:03,15:48,S08,2,True
TR00100,PASSENGER,2026-09-17,15:40,16:00,S01,4,False
TR00101,EXPRESS,2026-09-18,16:17,16:42,S04,5,False
TR00102,FREIGHT,2026-09-19,16:54,17:29,S07,3,False
TR00103,ENGINEERING,2026-09-20,17:31,18:16,S10,2,False
TR00104,PASSENGER,2026-09-21,18:08,18:28,S03,4,False
TR00105,EXPRESS,2026-09-22,18:45,19:10,S06,5,False
TR00106,FREIGHT,2026-09-23,19:22,19:57,S09,3,False
TR00107,ENGINEERING,2026-09-24,19:59,20:44,S02,2,False
TR00108,PASSENGER,2026-09-25,20:36,20:56,S05,4,True
TR00109,EXPRESS,2026-09-26,21:13,21:38,S08,5,False
TR00110,FREIGHT,2026-09-27,21:50,22:25,S01,3,False
TR00111,ENGINEERING,2026-09-28,05:27,06:12,S04,2,False
TR00112,PASSENGER,2026-09-01,06:04,06:24,S07,4,False
TR00113,EXPRESS,2026-09-02,06:41,07:06,S10,5,False
TR00114,FREIGHT,2026-09-03,07:18,07:53,S03,3,False
TR00115,ENGINEERING,2026-09-04,07:55,08:40,S06,2,False
TR00116,PASSENGER,2026-09-05,08:32,08:52,S09,4,False
TR00117,EXPRESS,2026-09-06,09:09,09:34,S02,5,True
TR00118,FREIGHT,2026-09-07,09:46,10:21,S05,3,False
TR00119,ENGINEERING,2026-09-08,10:23,11:08,S08,2,False
TR00120,PASSENGER,2026-09-09,11:00,11:20,S01,4,False
TR00121,EXPRESS,2026-09-10,11:37,12:02,S04,5,False
TR00122,FREIGHT,2026-09-11,12:14,12:49,S07,3,False
TR00123,ENGINEERING,2026-09-12,12:51,13:36,S10,2,False
TR00124,PASSENGER,2026-09-13,13:28,13:48,S03,4,False
TR00125,EXPRESS,2026-09-14,14:05,14:30,S06,5,False
TR00126,FREIGHT,2026-09-15,14:42,15:17,S09,3,True
TR00127,ENGINEERING,2026-09-16,15:19,16:04,S02,2,False
TR00128,PASSENGER,2026-09-17,15:56,16:16,S05,4,False
TR00129,EXPRESS,2026-09-18,16:33,16:58,S08,5,False
TR00130,FREIGHT,2026-09-19,17:10,17:45,S01,3,False
TR00131,ENGINEERING,2026-09-20,17:47,18:32,S04,2,False
TR00132,PASSENGER,2026-09-21,18:24,18:44,S07,4,False
TR00133,EXPRESS,2026-09-22,19:01,19:26,S10,5,False
TR00134,FREIGHT,2026-09-23,19:38,20:13,S03,3,False
TR00135,ENGINEERING,2026-09-24,20:15,21:00,S06,2,True
TR00136,PASSENGER,2026-09-25,20:52,21:12,S09,4,False
TR00137,EXPRESS,2026-09-26,21:29,21:54,S02,5,False
TR00138,FREIGHT,2026-09-27,05:06,05:41,S05,3,False
TR00139,ENGINEERING,2026-09-28,05:43,06:28,S08,2,False
TR00140,PASSENGER,2026-09-01,06:20,06:40,S01,4,False
TR00141,EXPRESS,2026-09-02,06:57,07:22,S04,5,False
TR00142,FREIGHT,2026-09-03,07:34,08:09,S07,3,False
TR00143,ENGINEERING,2026-09-04,08:11,08:56,S10,2,False
TR00144,PASSENGER,2026-09-05,08:48,09:08,S03,4,True
TR00145,EXPRESS,2026-09-06,09:25,09:50,S06,5,False
TR00146,FREIGHT,2026-09-07,10:02,10:37,S09,3,False
TR00147,ENGINEERING,2026-09-08,10:39,11:24,S02,2,False
TR00148,PASSENGER,2026-09-09,11:16,11:36,S05,4,False
TR00149,EXPRESS,2026-09-10,11:53,12:18,S08,5,False
TR00150,FREIGHT,2026-09-11,12:30,13:05,S01,3,False
TR00151,ENGINEERING,2026-09-12,13:07,13:52,S04,2,False
TR00152,PASSENGER,2026-09-13,13:44,14:04,S07,4,False
TR00153,EXPRESS,2026-09-14,14:21,14:46,S10,5,True
TR00154,FREIGHT,2026-09-15,14:58,15:33,S03,3,False
TR00155,ENGINEERING,2026-09-16,15:35,16:20,S06,2,False
TR00156,PASSENGER,2026-09-17,16:12,16:32,S09,4,False
TR00157,EXPRESS,2026-09-18,16:49,17:14,S02,5,False
TR00158,FREIGHT,2026-09-19,17:26,18:01,S05,3,False
TR00159,ENGINEERING,2026-09-20,18:03,18:48,S08,2,False
TR00160,PASSENGER,2026-09-21,18:40,19:00,S01,4,False
TR00161,EXPRESS,2026-09-22,19:17,19:42,S04,5,False
TR00162,FREIGHT,2026-09-23,19:54,20:29,S07,3,True
TR00163,ENGINEERING,2026-09-24,20:31,21:16,S10,2,False
TR00164,PASSENGER,2026-09-25,21:08,21:28,S03,4,False
TR00165,EXPRESS,2026-09-26,21:45,22:10,S06,5,False
TR00166,FREIGHT,2026-09-27,05:22,05:57,S09,3,False
TR00167,ENGINEERING,2026-09-28,05:59,06:44,S02,2,False
TR00168,PASSENGER,2026-09-01,06:36,06:56,S05,4,False
TR00169,EXPRESS,2026-09-02,07:13,07:38,S08,5,False
TR00170,FREIGHT,2026-09-03,07:50,08:25,S01,3,False
TR00171,ENGINEERING,2026-09-04,08:27,09:12,S04,2,True
TR00172,PASSENGER,2026-09-05,09:04,09:24,S07,4,False
TR00173,EXPRESS,2026-09-06,09:41,10:06,S10,5,False
TR00174,FREIGHT,2026-09-07,10:18,10:53,S03,3,False
TR00175,ENGINEERING,2026-09-08,10:55,11:40,S06,2,False
TR00176,PASSENGER,2026-09-09,11:32,11:52,S09,4,False
TR00177,EXPRESS,2026-09-10,12:09,12:34,S02,5,False
TR00178,FREIGHT,2026-09-11,12:46,13:21,S05,3,False
TR00179,ENGINEERING,2026-09-12,13:23,14:08,S08,2,False
TR00180,PASSENGER,2026-09-13,14:00,14:20,S01,4,True
TR00181,EXPRESS,2026-09-14,14:37,15:02,S04,5,False
TR00182,FREIGHT,2026-09-15,15:14,15:49,S07,3,False
TR00183,ENGINEERING,2026-09-16,15:51,16:36,S10,2,False
TR00184,PASSENGER,2026-09-17,16:28,16:48,S03,4,False
TR00185,EXPRESS,2026-09-18,17:05,17:30,S06,5,False
TR00186,FREIGHT,2026-09-19,17:42,18:17,S09,3,False
TR00187,ENGINEERING,2026-09-20,18:19,19:04,S02,2,False
TR00188,PASSENGER,2026-09-21,18:56,19:16,S05,4,False
TR00189,EXPRESS,2026-09-22,19:33,19:58,S08,5,True
TR00190,FREIGHT,2026-09-23,20:10,20:45,S01,3,False
TR00191,ENGINEERING,2026-09-24,20:47,21:32,S04,2,False
TR00192,PASSENGER,2026-09-25,21:24,21:44,S07,4,False
TR00193,EXPRESS,2026-09-26,05:01,05:26,S10,5,False
TR00194,FREIGHT,2026-09-27,05:38,06:13,S03,3,False
TR00195,ENGINEERING,2026-09-28,06:15,07:00,S06,2,False
TR00196,PASSENGER,2026-09-01,06:52,07:12,S09,4,False
TR00197,EXPRESS,2026-09-02,07:29,07:54,S02,5,False
TR00198,FREIGHT,2026-09-03,08:06,08:41,S05,3,True
TR00199,ENGINEERING,2026-09-04,08:43,09:28,S08,2,False
TR00200,PASSENGER,2026-09-05,09:20,09:40,S01,4,False
TR00201,EXPRESS,2026-09-06,09:57,10:22,S04,5,False
TR00202,FREIGHT,2026-09-07,10:34,11:09,S07,3,False
TR00203,ENGINEERING,2026-09-08,11:11,11:56,S10,2,False
TR00204,PASSENGER,2026-09-09,11:48,12:08,S03,4,False
TR00205,EXPRESS,2026-09-10,12:25,12:50,S06,5,False
TR00206,FREIGHT,2026-09-11,13:02,13:37,S09,3,False
TR00207,ENGINEERING,2026-09-12,13:39,14:24,S02,2,True
TR00208,PASSENGER,2026-09-13,14:16,14:36,S05,4,False
TR00209,EXPRESS,2026-09-14,14:53,15:18,S08,5,False
TR00210,FREIGHT,2026-09-15,15:30,16:05,S01,3,False
